Z,H,T,T_T0,p,p_p0,rho,rho_rho0,c,g
0,0.0,288.150,1.0000,1.0132E+05,1.0000E+00,1.2250E+00,1.0000E+00,340.29,9.8066
5,5.0,255.676,0.8873,5.4048E+04,5.3342E-01,7.3643E-01,6.0117E-01,320.55,9.7912
10,10.0,223.252,0.7748,2.6500E+04,2.6153E-01,4.1351E-01,3.3756E-01,299.53,9.7759
15,15.0,216.650,0.7519,1.2112E+04,1.1953E-01,1.9476E-01,1.5898E-01,295.07,9.7605
20,19.9,216.650,0.7519,5.5293E+03,5.4570E-02,8.8910E-02,7.2580E-02,295.07,9.7452
25,24.9,221.552,0.7689,2.5492E+03,2.5159E-02,4.0084E-02,3.2722E-02,298.39,9.7300
30,29.9,226.509,0.7861,1.1970E+03,1.1814E-02,1.8410E-02,1.5029E-02,301.71,9.7147
35,34.8,236.513,0.8208,5.7459E+02,5.6708E-03,8.4634E-03,6.9089E-03,308.30,9.6995
40,39.7,250.350,0.8688,2.8714E+02,2.8339E-03,3.9957E-03,3.2618E-03,317.19,9.6844
45,44.7,264.164,0.9168,1.4910E+02,1.4715E-03,1.9663E-03,1.6051E-03,325.82,9.6693
50,49.6,270.650,0.9393,7.9779E+01,7.8736E-04,1.0269E-03,8.3827E-04,329.80,9.6542
55,54.5,260.771,0.9050,4.2525E+01,4.1969E-04,5.6810E-04,4.6375E-04,323.72,9.6391
60,59.4,247.021,0.8573,2.1959E+01,2.1672E-04,3.0968E-04,2.5280E-04,315.07,9.6241
65,64.3,233.292,0.8096,1.0930E+01,1.0787E-04,1.6321E-04,1.3323E-04,306.19,9.6091
70,69.2,219.585,0.7621,5.2209E+00,5.1526E-05,8.2829E-05,6.7615E-05,297.06,9.5942
75,74.1,208.399,0.7232,2.3881E+00,2.3569E-05,3.9921E-05,3.2589E-05,289.40,9.5793
80,79.0,198.639,0.6894,1.0525E+00,1.0387E-05,1.8458E-05,1.5068E-05,282.54,9.5644
